"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENE","GENENAME"
"ENSG00000112096.16",1661.21515070019,3.29956824684409,0.588897455276585,5.60295891462869,2.10723187215813e-08,6.13535611235069e-06,"ENSG00000112096","SOD2"
"ENSG00000249348.1",446.582180852583,7.04168938257565,1.25874325687204,5.59422212920063,2.2161308130192e-08,6.28687747834354e-06,"ENSG00000249348","UGDH-AS1"
"ENSG00000235652.7",97.4657346283944,8.14361263014616,1.4558169245898,5.59384390481707,2.22096648074547e-08,6.28687747834354e-06,"ENSG00000235652","RP11-545I5.3"
"ENSG00000235823.2",522.695915940238,6.91925240276742,1.23774386704584,5.59021344155946,2.26790665645572e-08,6.33180898153753e-06,"ENSG00000235823","OLMALINC"
"ENSG00000232593.7",84.9280289608931,5.2820650459894,0.945463420328971,5.58674712571272,2.31362231606062e-08,6.37215357076102e-06,"ENSG00000232593","KANTR"
"ENSG00000261786.1",40.7071518037132,10.3879087258581,1.86019756845086,5.5843040019179,2.34637963623512e-08,6.37620844881439e-06,"ENSG00000261786","RP4-555D20.2"
"ENSG00000125675.17",47.2608327976125,-3.25349404355186,0.583952284121423,-5.57150666590312,2.52545700417423e-08,6.69207598285391e-06,"ENSG00000125675","GRIA3"
"ENSG00000248360.7",270.69778626952,6.7674968332734,1.21501036288464,5.56990873493971,2.54872805395373e-08,6.69207598285391e-06,"ENSG00000248360","LINC00504"
"ENSG00000275764.1",61.6704880206339,7.60829434230475,1.36617121296323,5.56906357717954,2.56112029175509e-08,6.69207598285391e-06,"ENSG00000275764","RP11-582E3.6"
"ENSG00000213121.2",111.819341099506,6.66672135806155,1.19820618323818,5.56391834003443,2.63783420818495e-08,6.79874252148033e-06,"ENSG00000213121","RP11-306O13.1"
"ENSG00000197291.8",57.912463155666,8.48271460029125,1.52514918812421,5.56189169318195,2.66865905362066e-08,6.79874252148033e-06,"ENSG00000197291","RAMP2-AS1"
"ENSG00000271122.1",81.0985661322294,9.76400938362523,1.75951875383588,5.54924996527544,2.86897737471908e-08,7.21884294742587e-06,"ENSG00000271122","RP11-379H18.1"
"ENSG00000257315.2",740.901833466615,8.36904715720292,1.5110430165683,5.53858961355694,3.04917213770085e-08,7.54669759067789e-06,"ENSG00000257315","ZBED6"
"ENSG00000280798.1",65.80625387237,4.9587526115759,0.895595464720034,5.53682193235092,3.08009418005631e-08,7.54669759067789e-06,"ENSG00000280798","LINC00294"
"ENSG00000259380.5",211.799333786868,6.70601425749402,1.21154164745033,5.53510832385061,3.11036061830599e-08,7.54669759067789e-06,"ENSG00000259380","RP11-346D14.1"
"ENSG00000281344.1",2953.83861496645,6.77908321740494,1.22550982935137,5.53164328432432,3.17244561456693e-08,7.60677812593984e-06,"ENSG00000281344","HELLPAR"
"ENSG00000226950.6",137.146732681244,8.97500517577871,1.62331434669598,5.52881528709828,3.22400581370418e-08,7.61849748309732e-06,"ENSG00000226950","DANCR"
"ENSG00000206573.8",92.8002281029849,9.47501701065965,1.71422373323486,5.52729309888835,3.25209401417726e-08,7.61849748309732e-06,"ENSG00000206573","THUMPD3-AS1"
"ENSG00000214391.3",15.6229276412554,3.45489521798416,0.625701735614996,5.52163278656784,3.35863848526212e-08,7.77202387881924e-06,"ENSG00000214391","TUBAP2"
"ENSG00000182329.12",13.9870589147812,6.47925864600567,1.17382170750865,5.51979794253204,3.39389689031408e-08,7.77202387881924e-06,"ENSG00000182329","KIAA2012"
"ENSG00000196295.11",162.968586616802,7.65458130901716,1.38932367837851,5.50957377905693,3.59703605964582e-08,8.14568799240461e-06,"ENSG00000196295","AC005154.6"
"ENSG00000234608.7",46.7617162462463,8.92822216410591,1.62212988389281,5.50401188755604,3.71244499527293e-08,8.31465290644589e-06,"ENSG00000234608","MAPKAPK5-AS1"
"ENSG00000258472.8",55.6694312146202,6.03173534319241,1.09766499989229,5.49506028140122,3.90576974859395e-08,8.65255361370579e-06,"ENSG00000258472","RP11-192H23.4"
"ENSG00000270055.1",30.462024555985,8.19265570169276,1.49346053806011,5.48568609140112,4.11867716458569e-08,9.02610314961516e-06,"ENSG00000270055","CTD-3092A11.2"
"ENSG00000173597.8",488.507631368953,6.87189536324667,1.25350850672402,5.48212902137059,4.20237564782763e-08,9.11155511472074e-06,"ENSG00000173597","SULT1B1"
"ENSG00000279207.1",70.290092975245,10.585512317149,1.93289903356245,5.47649521953522,4.33832489214433e-08,9.30730522387301e-06,"ENSG00000279207","RP11-159D12.8"
"ENSG00000224914.3",47.2836480096736,8.23354465786819,1.50956506121281,5.45424961760392,4.91800770602372e-08,1.0392935416577e-05,"ENSG00000224914","LINC00863"
"ENSG00000198840.2",868.286893458523,7.89425510850378,1.44762963569308,5.45322844590996,4.94634578974522e-08,1.0392935416577e-05,"ENSG00000198840","MT-ND3"
"ENSG00000237036.4",35.9452450372846,10.7896476020548,1.97940927984318,5.45094322428843,5.01033654824178e-08,1.04199662438485e-05,"ENSG00000237036","ZEB1-AS1"
"ENSG00000279662.1",39.6424827564071,7.8865330768759,1.44802830976896,5.44639426154192,5.14011357906889e-08,1.05564017204601e-05,"ENSG00000279662","RP11-609N14.4"
